timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776295677.3068452,1.0,0.0,2.0,0.0,2.0,0.0
1776295681.340959,1.0,0.0,2.0,0.0,2.0,0.0
1776295685.3548672,1.0,0.0,2.0,0.0,2.0,0.0
1776295689.340208,1.0,0.0,2.0,0.0,2.0,0.0
1776295693.349082,1.0,0.0,2.0,0.0,2.0,0.0
1776295697.3652437,1.0,0.0,2.0,0.0,2.0,0.0
1776295701.379027,1.0,0.0,2.0,0.0,2.0,0.0
1776295705.3894424,1.0,0.0,2.0,0.0,2.0,0.0
1776295709.384824,1.0,0.0,2.0,0.0,2.0,0.0
1776295713.4469843,1.0,0.0,2.0,0.0,2.0,0.0
1776295717.4498134,1.0,0.0,2.0,0.0,2.0,0.0
1776295721.4481995,1.0,0.0,2.0,0.0,2.0,0.0
1776295725.4285617,1.0,0.0,2.0,0.0,2.0,0.0
1776295729.4656217,1.0,0.0,2.0,0.0,2.0,0.0
1776295733.4725745,0.5,0.5,1.5,0.5,1.5,0.5
1776295737.4660225,0.0,0.0,1.0,0.0,1.0,0.0
1776295741.4622228,0.0,0.0,1.0,0.0,1.0,0.0
1776295745.4956713,0.0,0.0,1.0,0.0,1.0,0.0
1776295749.5308697,0.0,0.0,1.0,0.0,1.0,0.0
1776295753.516053,1.0,0.0,1.0,0.0,1.0,0.0
1776295757.5258436,0.5,0.5,1.0,0.0,1.0,0.0
1776295761.5173738,0.0,0.0,1.0,0.0,1.0,0.0
1776295765.5277278,0.0,0.0,1.0,0.0,1.0,0.0
1776295769.5646462,0.0,0.0,1.0,0.0,1.0,0.0
1776295773.5462265,0.0,0.0,1.0,0.0,1.0,0.0
1776295777.5829313,0.0,0.0,1.0,0.0,1.0,0.0
1776295781.5911746,0.0,0.0,1.0,0.0,1.0,0.0
1776295785.5667024,0.0,0.0,1.0,0.0,1.0,0.0
1776295789.5692234,0.0,0.0,1.0,0.0,1.0,0.0
1776295793.6167364,0.0,0.0,1.0,0.0,1.0,0.0
1776295797.6027758,0.0,0.0,1.0,0.0,1.0,0.0
1776295801.60629,0.0,0.0,1.0,0.0,1.0,0.0
1776295805.6362848,0.0,0.0,1.0,0.0,1.0,0.0
1776295809.6303365,0.0,0.0,1.0,0.0,1.0,0.0
1776295813.6676385,0.0,0.0,0.0,0.0,0.0,0.0
1776295817.6446877,0.0,0.0,0.5,0.5,0.5,0.5
1776295821.6369534,0.0,0.0,1.0,0.0,1.0,0.0
1776295825.6689916,1.0,0.0,1.0,0.0,1.0,0.0
1776295829.7008224,1.0,0.0,1.0,0.0,1.0,0.0
1776295833.7061224,1.0,0.0,1.0,0.0,1.0,0.0
1776295837.6914806,1.0,0.0,1.0,0.0,1.0,0.0
1776295841.728165,1.0,0.0,1.0,0.0,1.0,0.0
1776295845.7299287,1.0,0.0,1.0,0.0,1.0,0.0
1776295849.741791,1.0,0.0,1.0,0.0,1.0,0.0
1776295853.7252524,1.0,0.0,1.0,0.0,1.0,0.0
1776295857.7264225,1.0,0.0,1.0,0.0,1.0,0.0
1776295861.7661386,1.0,0.0,1.0,0.0,1.0,0.0
1776295865.7530258,1.0,0.0,1.0,0.0,1.0,0.0
1776295869.782454,1.0,0.0,1.0,0.0,1.0,0.0
1776295873.7656026,1.0,0.0,1.0,0.0,1.0,0.0
1776295877.8086286,0.5,0.5,0.5,0.5,0.5,0.5
1776295881.8270946,0.0,0.0,0.0,0.0,0.0,0.0
1776295885.8171635,0.0,0.0,1.0,0.0,1.0,0.0
1776295889.8310385,0.0,0.0,1.0,0.0,1.0,0.0
1776295893.839974,0.0,0.0,1.0,0.0,1.0,0.0
1776295897.8275073,1.0,0.0,1.0,0.0,1.0,0.0
1776295901.8408868,1.0,0.0,1.0,0.0,1.0,0.0
1776295905.846761,1.0,0.0,1.0,0.0,1.0,0.0
